City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,Uyemskiy,16.7833,94.7333,299.15,68,75,2.81,MM,2022-03-11 01:22:02
225,Uyemskiy,58.3758,58.3211,251.89,98,21,1.92,RU,2022-03-11 01:22:03
226,Uyemskiy,-7.4706,-34.8086,300.48,72,92,5.19,BR,2022-03-11 01:22:04
227,Uyemskiy,58.8275,44.3178,261.25,98,91,1.97,RU,2022-03-11 01:23:04
228,Uyemskiy,20.7,-105.2,295.72,60,0,4.63,MX,2022-03-11 01:23:06
229,Uyemskiy,68.75,161.3,264.84,75,79,2.89,RU,2022-03-11 01:23:06
230,Uyemskiy,45.7056,39.5932,271.85,86,100,6.64,RU,2022-03-11 01:23:07
231,Uyemskiy,61.8699,28.88,273.18,80,100,4.63,FI,2022-03-11 01:23:08
232,Uyemskiy,31.2156,29.9553,286.13,58,40,6.69,EG,2022-03-11 01:22:52
233,Uyemskiy,35.174,-2.9287,284.29,87,0,1.03,MA,2022-03-11 01:23:10
234,Uyemskiy,22.2855,114.1577,296.62,77,63,5.36,HK,2022-03-11 01:21:26
235,Uyemskiy,-12.0667,134.2667,304.42,64,100,1.64,AU,2022-03-11 01:23:12
236,Uyemskiy,40.8044,140.4414,281.44,94,100,3.16,JP,2022-03-11 01:23:13
237,Uyemskiy,-28.8667,153.5667,293.16,99,100,4.2,AU,2022-03-11 01:23:14
238,Uyemskiy,52.877,42.7663,258.35,90,92,6.04,RU,2022-03-11 01:23:15
239,Uyemskiy,11.2725,-73.3091,298.88,83,42,1.73,CO,2022-03-11 01:23:15
240,Uyemskiy,54.675,20.1347,267.18,49,77,3.38,RU,2022-03-11 01:23:16
241,Uyemskiy,16.6362,1.637,297.34,12,10,5.11,ML,2022-03-11 01:18:46
242,Uyemskiy,-1.2854,29.685,288.02,71,100,1.57,UG,2022-03-11 01:23:17
243,Uyemskiy,36.8387,54.4348,280.13,100,100,2.06,IR,2022-03-11 01:23:18
244,Uyemskiy,37.2353,39.7631,279.66,95,100,4.04,TR,2022-03-11 01:23:19
245,Uyemskiy,51.9419,1.2844,283.15,75,16,3.58,GB,2022-03-11 01:23:19
246,Uyemskiy,13.2167,-59.5167,299.49,78,40,10.8,BB,2022-03-11 01:23:20
247,Uyemskiy,27.6239,110.0989,292.36,76,0,1.46,CN,2022-03-11 01:23:20
248,Uyemskiy,-3.8004,102.2655,298.88,84,99,1.54,ID,2022-03-11 01:23:21
249,Uyemskiy,-9.6658,-35.7353,297.84,88,40,1.03,BR,2022-03-11 01:21:50
250,Uyemskiy,38.4953,102.1739,282.33,36,100,2.92,CN,2022-03-11 01:23:23
251,Uyemskiy,-17.8786,36.8883,297.74,82,100,2.22,MZ,2022-03-11 01:23:24
252,Uyemskiy,63.4427,-20.2734,280.88,81,100,11.38,IS,2022-03-11 01:23:25
253,Uyemskiy,59.1167,159.9667,269.92,68,8,4.05,RU,2022-03-11 01:23:25
254,Uyemskiy,69.4719,25.5112,275.32,79,100,10.29,NO,2022-03-11 01:23:26
255,Uyemskiy,34.3989,-119.5185,294.09,46,0,1.41,US,2022-03-11 01:23:25
256,Uyemskiy,4.4148,114.0089,301.23,78,20,2.57,MY,2022-03-11 01:23:27
257,Uyemskiy,64.8378,-147.7164,268.32,60,100,7.72,US,2022-03-11 01:23:27
258,Uyemskiy,58.8053,-122.7002,261.92,48,75,4.12,CA,2022-03-11 01:23:28
259,Uyemskiy,42.7846,75.6892,277.94,71,100,2.03,KG,2022-03-11 01:23:28
260,Uyemskiy,14.7328,-6.1219,299.46,10,0,4.84,ML,2022-03-11 01:23:29
261,Uyemskiy,43.4832,-8.2369,283.9,86,100,9.55,ES,2022-03-11 01:23:30
262,Uyemskiy,-46.1333,167.6833,293.04,63,100,3.02,NZ,2022-03-11 01:23:30
263,Uyemskiy,39.2858,-2.7921,281.14,65,77,4.22,ES,2022-03-11 01:23:31
264,Uyemskiy,59.6425,-151.5483,279.09,70,100,2.57,US,2022-03-11 01:19:40
265,Uyemskiy,-41.45,147.1667,293.49,47,6,2.57,AU,2022-03-11 01:23:32
266,Uyemskiy,-11.0964,-77.6139,295.58,82,93,3.44,PE,2022-03-11 01:23:33
267,Uyemskiy,71.6872,128.8694,248.47,98,100,1.38,RU,2022-03-11 01:23:33
268,Uyemskiy,38.8876,-76.5119,281.53,75,100,1.54,US,2022-03-11 01:23:35
269,Uyemskiy,25.2631,63.471,296.2,71,0,1.85,PK,2022-03-11 01:23:35
270,Uyemskiy,-41.4122,175.5153,294.86,55,2,2.49,NZ,2022-03-11 01:23:36
271,Uyemskiy,57.0531,-135.33,279.09,75,100,7.2,US,2022-03-11 01:24:37
272,Uyemskiy,33.5928,-7.6192,283.27,89,1,2.06,MA,2022-03-11 01:24:37
273,Uyemskiy,-35.5667,138.6167,292.04,71,79,4.02,AU,2022-03-11 01:24:38
274,Uyemskiy,28.6585,-17.9182,288.01,83,0,3.09,ES,2022-03-11 01:24:39
275,Uyemskiy,-2.0226,147.2712,302.01,69,100,1.47,PG,2022-03-11 01:24:39
276,Uyemskiy,61.994,-49.6678,254.47,92,60,5.57,GL,2022-03-11 01:24:40
277,Uyemskiy,-5.55,12.2,299.38,84,100,0.03,AO,2022-03-11 01:24:41
278,Uyemskiy,-45.8742,170.5036,292.48,73,100,2.24,NZ,2022-03-11 01:24:41
